Size	Samples	Success	Avg rank	Seconds
3	100	100	3.0	0.10941910743713379
4	100	97	4.03	0.3142862319946289
5	100	98	5.02	0.7442820072174072
6	100	98	6.02	1.5922832489013672
7	100	100	7.0	3.2711665630340576
8	100	99	8.03	5.818162441253662
9	100	93	9.17	9.669273138046265
10	100	94	10.18	15.522007703781128
11	100	94	11.28	24.061300039291382
12	100	80	12.76	36.185482025146484
13	100	82	13.75	55.72988724708557
14	100	81	14.69	76.73951601982117
15	100	65	16.53	106.63716745376587
16	100	61	18.04	147.9484348297119
17	100	43	20.71	204.00075101852417
18	100	41	22.46	279.724401473999
19	100	40	23.11	365.2429060935974
20	100	29	25.8	486.3549921512604
