Size	Samples	Avg rank	Seconds
2	100	0.66	0.00958251953125
3	100	0.23	0.007648944854736328
4	100	0.19	0.008789539337158203
5	100	0.25	0.017608642578125
6	100	0.22	0.019477367401123047
7	100	0.15	0.021810293197631836
8	100	0.23	0.035199880599975586
9	100	0.15	0.03761696815490723
10	100	0.18	0.04189777374267578
11	100	0.21	0.05904030799865723
12	100	0.2	0.06370687484741211
13	100	0.23	0.07230329513549805
14	100	0.18	0.08861327171325684
15	100	0.17	0.09930944442749023
16	100	0.14	0.10361170768737793
17	100	0.21	0.12855792045593262
18	100	0.16	0.15200209617614746
19	100	0.22	0.16367530822753906
20	100	0.25	0.20003151893615723
21	100	0.19	0.21291065216064453
22	100	0.22	0.22391128540039062
23	100	0.3	0.2698638439178467
24	100	0.26	0.2873556613922119
25	100	0.12	0.2958691120147705
26	100	0.25	0.3536703586578369
27	100	0.21	0.36456298828125
28	100	0.21	0.3855464458465576
29	100	0.23	0.4380779266357422
30	100	0.46	0.46362829208374023
31	100	0.21	0.4852747917175293
32	100	0.27	0.5446844100952148
33	100	0.24	0.5753862857818604
34	100	0.26	0.6012420654296875
35	100	0.31	0.6751658916473389
36	100	0.33	0.6963188648223877
37	100	0.26	0.7393531799316406
38	100	0.25	0.8067071437835693
39	100	0.25	0.8431153297424316
40	100	0.43	0.8839600086212158
41	100	0.34	0.9799759387969971
42	100	0.33	1.0178020000457764
43	100	0.33	1.0665063858032227
44	100	0.43	1.14133882522583
45	100	0.34	1.1982791423797607
46	100	0.41	1.2467436790466309
47	100	0.42	1.3313734531402588
48	100	0.35	1.395972490310669
49	100	0.38	1.4559557437896729
50	100	0.37	1.5735690593719482
51	100	0.45	1.623030662536621
52	100	0.27	1.6790401935577393
53	100	0.37	1.7844910621643066
54	100	0.37	1.7885050773620605
55	100	0.4	1.9306068420410156
56	100	0.46	2.0738062858581543
57	100	0.39	2.1230242252349854
58	100	0.24	2.1977574825286865
59	100	0.49	2.355468273162842
60	100	0.46	2.423017740249634
61	100	0.41	2.5185368061065674
62	100	0.44	2.6669490337371826
63	100	0.44	2.6961982250213623
64	100	0.39	2.8104350566864014
65	100	0.58	2.9933552742004395
66	100	0.66	3.120971202850342
67	100	0.32	3.1845643520355225
68	100	0.44	3.3108906745910645
69	100	0.41	3.4774222373962402
70	100	0.49	3.5837366580963135
71	100	0.49	3.6842150688171387
72	100	0.51	3.853313684463501
73	100	0.62	3.9648334980010986
74	100	0.61	4.1755759716033936
75	100	0.5	4.284364700317383
76	100	0.42	4.362410068511963
77	100	0.54	4.574787616729736
78	100	0.49	4.685523986816406
79	100	0.47	4.8356873989105225
80	100	0.59	5.066946983337402
81	100	0.41	5.1968772411346436
82	100	0.44	5.350461721420288
83	100	0.52	5.573472023010254
84	100	0.5	5.65926194190979
85	100	0.56	5.853677272796631
86	100	0.61	6.1555256843566895
87	100	0.47	6.261930465698242
88	100	0.54	6.382395505905151
89	100	0.72	6.695432901382446
90	100	0.57	6.86945366859436
91	100	0.52	7.013647556304932
92	100	0.58	7.308393716812134
93	100	0.62	7.503320217132568
94	100	0.62	7.6541807651519775
95	100	0.6	7.985663652420044
96	100	0.7	8.127827882766724
97	100	0.57	8.38559365272522
98	100	0.44	8.675903558731079
99	100	0.6	8.848500967025757
100	100	0.63	9.007526159286499
